date,ticker,type,price,shares,amount,commission,reason
2020-03-27,9433,BUY,1417.9879079589844,700,993141.535571289,550.0,Entry 3 days before record date
2020-03-27,4063,BUY,1966.68528515625,500,983892.642578125,550.0,Entry 3 days before record date
2020-03-27,9984,BUY,3747.1673642578126,200,749983.4728515625,550.0,Entry 3 days before record date
2020-03-27,6098,BUY,2992.2706918945314,300,898231.2075683594,550.0,Entry 3 days before record date
2020-03-27,7974,BUY,3434.1519580078125,200,687380.3916015625,550.0,Entry 3 days before record date
2020-03-30,7203,BUY,1198.277635986328,800,959172.1087890625,550.0,Add position on ex-dividend drop (1.6%)
2020-03-30,6758,BUY,1262.4933354492186,700,884295.334814453,550.0,Add position on ex-dividend drop (3.4%)
2020-03-30,9432,SELL,91.52179618835449,22200,2030683.8753814695,1100.0,Window filled (reached pre-ex price 90)
2020-03-30,8306,BUY,351.71395623779296,2700,950177.681842041,550.0,Add position on ex-dividend drop (2.6%)
2020-03-30,9433,BUY,1389.4291955566407,700,973150.4368896484,550.0,Add position on ex-dividend drop (2.0%)
2020-03-30,4063,BUY,1964.8550939941406,500,982977.5469970703,550.0,Add position on ex-dividend drop (0.1%)
2020-03-30,9984,BUY,3580.4106884765624,200,716632.1376953125,550.0,Add position on ex-dividend drop (4.5%)
2020-03-30,6098,BUY,2890.629338378906,300,867738.8015136719,550.0,Add position on ex-dividend drop (3.4%)
2020-03-30,7974,SELL,3526.4755505371095,400,1409814.3955937256,775.8246211181641,Window filled (reached pre-ex price 3434)
2020-04-01,6098,SELL,2500.5579536132814,900,2249402.1582519533,1100.0,Stop loss triggered (-15.3%)
2020-04-03,7203,SELL,1087.7882033691405,2400,2609591.6880859374,1100.0,Stop loss triggered (-10.1%)
2020-04-03,8306,SELL,318.0002067260742,8100,2574701.6744812015,1100.0,Stop loss triggered (-11.0%)
2020-04-06,9433,SELL,1412.7582985839845,2100,2965692.4270263673,1100.0,Window filled (reached pre-ex price 1415)
2020-04-06,9984,SELL,3878.020408203125,600,2325712.244921875,1100.0,Window filled (reached pre-ex price 3740)
2020-04-07,6758,SELL,1307.4857451171874,2100,2744620.0647460935,1100.0,Window filled (reached pre-ex price 1305)
2020-04-07,4063,SELL,2035.4011423339844,1500,3052001.7135009766,1100.0,Window filled (reached pre-ex price 1963)
2020-09-28,7203,BUY,1269.4117950439452,700,889138.2565307616,550.0,Entry 3 days before record date
2020-09-28,6758,BUY,1609.7062426757811,600,966373.7456054686,550.0,Entry 3 days before record date
2020-09-28,9432,BUY,78.17530883789061,12800,1001194.3072992185,550.3541742187499,Entry 3 days before record date
2020-09-28,8306,BUY,368.8282218933105,2700,996386.1991119384,550.0,Entry 3 days before record date
2020-09-28,9433,BUY,1206.5328021240234,800,965776.2416992188,550.0,Entry 3 days before record date
2020-09-28,4063,BUY,2564.6208801269527,300,769936.2640380858,550.0,Entry 3 days before record date
2020-09-28,9984,BUY,6166.087207031249,100,617158.7207031249,550.0,Entry 3 days before record date
